round,date,match,selection,side,model_probability,closing_no_vig_probability,probability_edge,closing_odds,expected_value,result,profit
10,2026-05-14,Lions v Cats,Lions,home,0.7462686567164178,0.6474820143884892,0.09878664232792866,1.47,0.09701492537313428,L,-1.0
10,2026-05-16,Crows v Kangaroos,Crows,home,0.8928571428571428,0.6416464891041161,0.25121065375302665,1.48,0.3214285714285714,W,0.48
10,2026-05-16,Demons v Hawks,Hawks,away,0.8849557522123894,0.660377358490566,0.22457839372182342,1.44,0.2743362831858407,L,-1.0
10,2026-05-17,Bombers v Dockers,Dockers,away,0.8849557522123894,0.8013355592654424,0.083620192946947,1.19,0.053097345132743445,W,0.18999999999999995
10,2026-05-17,Eagles v Giants,Giants,away,0.8771929824561404,0.7789855072463768,0.09820747520976358,1.22,0.07017543859649122,L,-1.0
11,2026-05-21,Hawthorn Hawks v Adelaide Crows,Hawthorn Hawks,home,0.7751937984496123,0.6125,0.1626937984496123,1.55,0.20155038759689914,W,0.55
11,2026-05-22,Fremantle Dockers v St Kilda Saints,Fremantle Dockers,home,0.9090909090909091,0.7470119521912351,0.162078956899674,1.27,0.15454545454545454,W,0.27
11,2026-05-23,Collingwood Magpies v West Coast Eagles,Collingwood Magpies,home,0.9900990099009901,0.8996212121212122,0.09047779777977794,1.06,0.04950495049504955,W,0.06000000000000005
11,2026-05-23,Geelong Cats v Sydney Swans,Sydney Swans,away,0.4366812227074236,0.3658536585365854,0.07082756417083819,2.6,0.1353711790393013,L,-1.0
11,2026-05-23,North Melbourne Kangaroos v Gold Coast Suns,Gold Coast Suns,away,0.6993006993006994,0.6030150753768844,0.09628562392381501,1.58,0.104895104895105,L,-1.0
11,2026-05-23,Port Adelaide Power v Carlton Blues,Port Adelaide Power,home,0.7936507936507936,0.660377358490566,0.1332734351602276,1.44,0.1428571428571428,L,-1.0
11,2026-05-24,Greater Western Sydney Giants v Brisbane Lions,Brisbane Lions,away,0.7299270072992701,0.6125,0.11742700729927003,1.55,0.13138686131386867,L,-1.0
11,2026-05-24,Western Bulldogs v Melbourne Demons,Western Bulldogs,home,0.78125,0.4569190600522194,0.3243309399477806,2.08,0.625,W,1.08
12,2026-05-28,St Kilda Saints v Hawthorn Hawks,Hawthorn Hawks,away,0.8,0.7158119658119658,0.08418803418803422,1.33,0.06400000000000006,W,0.33000000000000007
12,2026-05-29,Carlton Blues v Geelong Cats,Geelong Cats,away,0.8928571428571428,0.7843137254901962,0.10854341736694662,1.21,0.0803571428571428,L,-1.0
12,2026-05-30,Sydney Swans v Richmond Tigers,Sydney Swans,home,1.0,0.9136212624584719,0.08637873754152814,1.04,0.040000000000000036,W,0.040000000000000036
12,2026-05-30,Western Bulldogs v Collingwood Magpies,Collingwood Magpies,away,0.47846889952153115,0.40506329113924056,0.0734056083822906,2.35,0.12440191387559829,L,-1.0
12,2026-05-31,Melbourne Demons v Greater Western Sydney Giants,Melbourne Demons,home,0.6622516556291391,0.43152454780361754,0.23072710782552158,2.2,0.4569536423841063,L,-1.0
12,2026-05-31,West Coast Eagles v Essendon Bombers,Essendon Bombers,away,0.5050505050505051,0.33962264150943394,0.16542786354107114,2.8,0.41414141414141414,L,-1.0
13,2026-06-05,Hawthorn Hawks v Western Bulldogs,Hawthorn Hawks,home,0.8620689655172414,0.6341463414634148,0.22792262405382668,1.5,0.2931034482758621,L,-1.0
13,2026-06-06,West Coast Eagles v Port Adelaide Power,Port Adelaide Power,away,0.7633587786259541,0.5684754521963824,0.19488332642957173,1.67,0.2748091603053433,W,0.6699999999999999
13,2026-06-07,Essendon Bombers v Carlton Blues,Essendon Bombers,home,0.2717391304347826,0.18962722852512157,0.08211190190966103,5.0,0.3586956521739131,L,-1.0
13,2026-06-07,Sydney Swans v St Kilda Saints,Sydney Swans,home,0.9345794392523364,0.7996632996632997,0.1349161395890367,1.19,0.11214953271028039,W,0.18999999999999995
13,2026-06-08,Collingwood Magpies v Melbourne Demons,Collingwood Magpies,home,0.7246376811594204,0.5,0.2246376811594204,1.9,0.37681159420289867,L,-1.0
14,2026-06-11,Western Bulldogs v Adelaide Crows,Adelaide Crows,away,0.5813953488372093,0.423076923076923,0.15831842576028632,2.25,0.30813953488372103,W,1.25
14,2026-06-13,North Melbourne Kangaroos v West Coast Eagles,North Melbourne Kangaroos,home,0.7751937984496123,0.6547619047619047,0.12043189368770768,1.45,0.12403100775193776,W,0.44999999999999996
14,2026-06-14,Richmond Tigers v Brisbane Lions,Richmond Tigers,home,0.1984126984126984,0.09502262443438914,0.10339007397830927,10.0,0.984126984126984,L,-1.0
14,2026-06-14,St Kilda Saints v Greater Western Sydney Giants,Greater Western Sydney Giants,away,0.6329113924050632,0.513157894736842,0.11975349766822119,1.85,0.1708860759493671,L,-1.0
15,2026-06-20,Adelaide Crows v Melbourne Demons,Adelaide Crows,home,0.8130081300813008,0.7080610021786492,0.1049471279026516,1.34,0.08943089430894302,W,0.3400000000000001
15,2026-06-20,Collingwood Magpies v Port Adelaide Power,Collingwood Magpies,home,0.7692307692307692,0.6125,0.15673076923076912,1.55,0.1923076923076923,W,0.55
15,2026-06-21,St Kilda Saints v Western Bulldogs,Western Bulldogs,away,0.5524861878453039,0.47368421052631576,0.07880197731898814,2.0,0.1049723756906078,W,1.0
16,2026-06-28,Fremantle Dockers v Gold Coast Suns,Fremantle Dockers,home,0.8695652173913044,0.7922535211267606,0.07731169626454382,1.18,0.026086956521739202,W,0.17999999999999994
16,2026-06-28,North Melbourne Kangaroos v Essendon Bombers,North Melbourne Kangaroos,home,0.7936507936507936,0.6547619047619047,0.13888888888888895,1.45,0.1507936507936507,W,0.44999999999999996
17,2026-07-02,Geelong Cats v Brisbane Lions,Geelong Cats,home,0.7936507936507936,0.6474820143884892,0.14616877926230443,1.47,0.16666666666666652,L,-1.0
17,2026-07-03,Sydney Swans v Western Bulldogs,Sydney Swans,home,0.8,0.660377358490566,0.13962264150943404,1.44,0.1519999999999999,W,0.43999999999999995
17,2026-07-04,Hawthorn Hawks v Melbourne Demons,Hawthorn Hawks,home,0.7936507936507936,0.6712962962962963,0.12235449735449733,1.42,0.12698412698412676,L,-1.0
17,2026-07-04,Richmond Tigers v Carlton Blues,Richmond Tigers,home,0.25641025641025644,0.1642651296829971,0.09214512672725933,5.8,0.4871794871794872,L,-1.0
17,2026-07-05,Port Adelaide Power v North Melbourne Kangaroos,North Melbourne Kangaroos,away,0.49019607843137253,0.33962264150943394,0.15057343692193859,2.8,0.3725490196078429,L,-1.0
18,2026-07-09,Fremantle Dockers v Sydney Swans,Fremantle Dockers,home,0.7874015748031495,0.6658878504672897,0.12151372433585983,1.43,0.1259842519685037,W,0.42999999999999994
18,2026-07-11,Carlton Blues v Hawthorn Hawks,Hawthorn Hawks,away,0.7092198581560284,0.586734693877551,0.12248516427847744,1.62,0.14893617021276606,W,0.6200000000000001
18,2026-07-11,Greater Western Sydney Giants v Geelong Cats,Geelong Cats,away,0.6944444444444444,0.5584415584415584,0.13600288600288601,1.7,0.18055555555555558,L,-1.0
19,2026-07-16,Geelong Cats v St Kilda Saints,Geelong Cats,home,0.8264462809917356,0.667447306791569,0.1589989742001665,1.42,0.17355371900826433,W,0.41999999999999993
19,2026-07-17,Sydney Swans v Adelaide Crows,Sydney Swans,home,0.7692307692307692,0.6728538283062646,0.09637694092450455,1.41,0.08461538461538454,L,-1.0
19,2026-07-18,Collingwood Magpies v Carlton Blues,Collingwood Magpies,home,0.7142857142857143,0.5584415584415584,0.1558441558441559,1.7,0.2142857142857142,W,0.7
19,2026-07-18,North Melbourne Kangaroos v Melbourne Demons,North Melbourne Kangaroos,home,0.4048582995951417,0.32870370370370366,0.07615459589143803,2.9,0.1740890688259109,L,-1.0
19,2026-07-18,Port Adelaide Power v Fremantle Dockers,Port Adelaide Power,home,0.21413276231263384,0.11180773249738768,0.10232502981524616,8.5,0.8201284796573876,L,-1.0
19,2026-07-19,Essendon Bombers v Greater Western Sydney Giants,Essendon Bombers,home,0.27322404371584696,0.14586070959264127,0.1273633341232057,6.5,0.7759562841530052,W,5.5
21,2026-08-01,Port Adelaide Power v Greater Western Sydney Giants,Greater Western Sydney Giants,away,0.6172839506172839,0.5263157894736842,0.09096816114359974,1.8,0.11111111111111116,W,0.8
21,2026-08-02,Richmond Tigers v West Coast Eagles,Richmond Tigers,home,0.5291005291005292,0.44155844155844154,0.08754208754208764,2.15,0.13756613756613767,W,1.15
22,2026-08-06,Western Bulldogs v North Melbourne Kangaroos,Western Bulldogs,home,0.7936507936507936,0.6658878504672897,0.1277629431835039,1.43,0.13492063492063489,L,-1.0
22,2026-08-07,Brisbane Lions v Hawthorn Hawks,Brisbane Lions,home,0.7936507936507936,0.5263157894736842,0.2673350041771094,1.8,0.4285714285714286,W,0.8
22,2026-08-08,Melbourne Demons v Fremantle Dockers,Fremantle Dockers,away,0.6896551724137931,0.6125,0.0771551724137931,1.55,0.06896551724137945,L,-1.0
22,2026-08-09,West Coast Eagles v Collingwood Magpies,Collingwood Magpies,away,0.78125,0.586734693877551,0.19451530612244905,1.62,0.265625,W,0.6200000000000001
22,2026-08-09,St Kilda Saints v Carlton Blues,St Kilda Saints,home,0.6369426751592356,0.48684210526315796,0.15010056989607767,1.95,0.2420382165605095,L,-1.0
